***Disclaimers		
"*Discontinued procedure and modifier codes will appear in the HCPCS file for four years to facilitate claims processing.  After four years, these procedure and "		
   modifier codes will no longer appear.  		
		
HCPC	LONG DESCRIPTION	SHORT DESCRIPTION
G0180	"Physician certification for medicare-covered home health services under a home health plan of care (patient not present), including contacts with home health agency and review of reports of patient status required by physicians to affirm the initial implementation of the plan of care that meets patient's needs, per certification period"	Md certification hha patient
G0181	"Physician supervision of a patient receiving medicare-covered services provided by a participating home health agency (patient not present) requiring complex and multidisciplinary care modalities involving regular physician development and/or revision of care plans, review of subsequent reports of patient status, review of laboratory and other studies, communication (including telephone calls) with other health care professionals involved in the patient's care, integration of new information into the medical treatment plan and/or adjustment of medical therapy, within a calendar month, 30 minutes or more"	Home health care supervision
G0182	"Physician supervision of a patient under a medicare-approved hospice (patient not present) requiring complex and multidisciplinary care modalities involving regular physician development and/or revision of care plans, review of subsequent reports of patient status, review of laboratory and other studies, communication (including telephone calls) with other health care professionals involved in the patient's care, integration of new information into the medical treatment plan and/or adjustment of medical therapy, within a calendar month, 30 minutes or more"	Hospice care supervision
G0186	"Destruction of localized lesion of choroid (for example, choroidal neovascularization); photocoagulation, feeder vessel technique (one or more sessions)"	"Dstry eye lesn,fdr vssl tech"
G0202	"Screening mammography, bilateral (2-view study of each breast), including computer-aided detection (cad) when performed"	Scr mammo bi incl cad
G0204	"Diagnostic mammography, including computer-aided detection (cad) when performed; bilateral"	Dx mammo incl cad bi
G0206	"Diagnostic mammography, including computer-aided detection (cad) when performed; unilateral"	Dx mammo incl cad uni
G0219	Pet imaging whole body; melanoma for non-covered indications	Pet img wholbod melano nonco
G0235	"Pet imaging, any site, not otherwise specified"	Pet not otherwise specified
G0237	"Therapeutic procedures to increase strength or endurance of respiratory muscles, face to face, one on one, each 15 minutes (includes monitoring)"	Therapeutic procd strg endur
G0238	"Therapeutic procedures to improve respiratory function, other than described by g0237, one on one, face to face, per 15 minutes (includes monitoring)"	"Oth resp proc, indiv"
G0239	"Therapeutic procedures to improve respiratory function or increase strength or endurance of respiratory muscles, two or more individuals (includes monitoring)"	"Oth resp proc, group"
G0245	"Initial physician evaluation and management of a diabetic patient with diabetic sensory neuropathy resulting in a loss of protective sensation (lops) which must include: (1) the diagnosis of lops, (2) a patient history, (3) a physical examination that consists of at least the following elements: (a) visual inspection of the forefoot, hindfoot and toe web spaces, (b) evaluation of a protective sensation, (c) evaluation of foot structure and biomechanics, (d) evaluation of vascular status and skin integrity, and (e) evaluation and recommendation of footwear and (4) patient education"	Initial foot exam pt lops
G0246	"Follow-up physician evaluation and management of a diabetic patient with diabetic sensory neuropathy resulting in a loss of protective sensation (lops) to include at least the following: (1) a patient history, (2) a physical examination that includes: (a) visual inspection of the forefoot, hindfoot and toe web spaces, (b) evaluation of protective sensation, (c) evaluation of foot structure and biomechanics, (d) evaluation of vascular status and skin integrity, and (e) evaluation and recommendation of footwear, and (3) patient education"	Followup eval of foot pt lop
G0247	"Routine foot care by a physician of a diabetic patient with diabetic sensory neuropathy resulting in a loss of protective sensation (lops) to include, the local care of superficial wounds (i.e. superficial to muscle and fascia) and at least the following if present: (1) local care of superficial wounds, (2) debridement of corns and calluses, and (3) trimming and debridement of nails"	Routine footcare pt w lops
G0248	"Demonstration, prior to initiation of home inr monitoring, for patient with either mechanical heart valve(s), chronic atrial fibrillation, or venous thromboembolism who meets medicare coverage criteria, under the direction of a physician; includes: face-to-face demonstration of use and care of the inr monitor, obtaining at least one blood sample, provision of instructions for reporting home inr test results, and documentation of patient's ability to perform testing and report results"	Demonstrate use home inr mon
G0249	"Provision of test materials and equipment for home inr monitoring of patient with either mechanical heart valve(s), chronic atrial fibrillation, or venous thromboembolism who meets medicare coverage criteria; includes: provision of materials for use in the home and reporting of test results to physician; testing not occurring more frequently than once a week; testing materials, billing units of service include 4 tests"	Provide inr test mater/equip
G0250	"Physician review, interpretation, and patient management of home inr testing for patient with either mechanical heart valve(s), chronic atrial fibrillation, or venous thromboembolism who meets medicare coverage criteria; testing not occurring more frequently than once a week; billing units of service include 4 tests"	Md inr test revie inter mgmt
G0251	"Linear accelerator based stereotactic radiosurgery, delivery including collimator changes and custom plugging, fractionated treatment, all lesions, per session, maximum five sessions per course of treatment"	Linear acc based stero radio
G0252	"Pet imaging, full and partial-ring pet scanners only, for initial diagnosis of breast cancer and/or surgical planning for breast cancer (e.g., initial staging of axillary lymph nodes)"	Pet imaging initial dx
G0255	"Current perception threshold/sensory nerve conduction test, (snct) per limb, any nerve"	Current percep threshold tst
G0257	Unscheduled or emergency dialysis treatment for an esrd patient in a hospital outpatient department that is not certified as an esrd facility	Unsched dialysis esrd pt hos
G0259	Injection procedure for sacroiliac joint; arthrography	Inject for sacroiliac joint
G0260	"Injection procedure for sacroiliac joint; provision of anesthetic, steroid and/or other therapeutic agent, with or without arthrography"	Inj for sacroiliac jt anesth
G0268	Removal of impacted cerumen (one or both ears) by physician on same date of service as audiologic function testing	Removal of impacted wax md
G0269	"Placement of occlusive device into either a venous or arterial access site, post surgical or interventional procedure (e.g., angioseal plug, vascular plug)"	Occlusive device in vein art
G0270	"Medical nutrition therapy; reassessment and subsequent intervention(s) following second referral in same year for change in diagnosis, medical condition or treatment regimen (including additional hours needed for renal disease), individual, face to face with the patient, each 15 minutes"	Mnt subs tx for change dx
G0271	"Medical nutrition therapy, reassessment and subsequent intervention(s) following second referral in same year for change in diagnosis, medical condition, or treatment regimen (including additional hours needed for renal disease), group (2 or more individuals), each 30 minutes"	Group mnt 2 or more 30 mins
G0276	"Blinded procedure for lumbar stenosis, percutaneous image-guided lumbar decompression (pild) or placebo-control, performed in an approved coverage with evidence development (ced) clinical trial"	Pild/placebo control clin tr
G0277	"Hyperbaric oxygen under pressure, full body chamber, per 30 minute interval"	"Hbot, full body chamber, 30m"
G0278	"Iliac and/or femoral artery angiography, non-selective, bilateral or ipsilateral to catheter insertion, performed at the same time as cardiac catheterization and/or coronary angiography, includes positioning or placement of the catheter in the distal aorta or ipsilateral femoral or iliac artery, injection of dye, production of permanent images, and radiologic supervision and interpretation (list separately in addition to primary procedure)"	"Iliac art angio,cardiac cath"
G0279	"Diagnostic digital breast tomosynthesis, unilateral or bilateral (list separately in addition to g0204 or g0206)"	"Tomosynthesis, mammo"
G0281	"Electrical stimulation, (unattended), to one or more areas, for chronic stage iii and stage iv pressure ulcers, arterial ulcers, diabetic ulcers, and venous stasis ulcers not demonstrating measurable signs of healing after 30 days of conventional care, as part of a therapy plan of care"	Elec stim unattend for press
G0282	"Electrical stimulation, (unattended), to one or more areas, for wound care other than described in g0281"	Elect stim wound care not pd
G0283	"Electrical stimulation (unattended), to one or more areas for indication(s) other than wound care, as part of a therapy plan of care"	Elec stim other than wound
G0288	"Reconstruction, computed tomographic angiography of aorta for surgical planning for vascular surgery"	"Recon, cta for surg plan"
G0289	"Arthroscopy, knee, surgical, for removal of loose body, foreign body, debridement/shaving of articular cartilage (chondroplasty) at the time of other surgical knee arthroscopy in a different compartment of the same knee"	"Arthro, loose body + chondro"
G0293	"Noncovered surgical procedure(s) using conscious sedation, regional, general or spinal anesthesia in a medicare qualifying clinical trial, per day"	"Non-cov surg proc,clin trial"
G0294	"Noncovered procedure(s) using either no anesthesia or local anesthesia only, in a medicare qualifying clinical trial, per day"	"Non-cov proc, clinical trial"
