Common name	syn_list
VALDECOXIB	['VALDECOXIB']
LACTULOSE	['4-O-BETA-D-GALACTOPYRANOSYL-D-FRUCTOFURANOSE', '4-O-BETA-D-GALACTOPYRANOSYL-D-FRUCTOSE', 'LACTULOSA', 'LACTULOSE', 'LACTULOSUM']
VORICONAZOLE	['(R-(R*,S*))-ALPHA-(2,4-DIFLUOROPHENYL)-5-FLUORO-BETA-METHYL-ALPHA-(1H-1,2,4-TRIAZOL-1-YLMETHYL)-4-PYRIMIDINEETHANOL', '(ΑR,ΒS)-Α-(2,4-DIFLUOROPHENYL)-5-FLUORO-Β-METHYL-Α(1H-1,2,4-TRIAZOL-1-YLMETHYL)-4-PYRIMIDINEETHANOL', 'VCZ', 'VORICONAZOL', 'VORICONAZOLE', 'VORICONAZOLUM']
LEVOCARNITINE	['(-)-CARNITINE', '(-)-L-CARNITINE', '(R)-CARNITINE', '3-CARBOXY-2-HYDROXY-N,N,N-TRIMETHYL-1-PROPANAMINIUM HYDROXIDE, INNER SALT', 'CARNITINA', 'CARNITINE', 'L-CARNITINE', 'LEVOCARNITIN', 'LEVOCARNITINA', 'LÉVOCARNITINE', 'LEVOCARNITINE', 'LEVOCARNITINUM', 'VITAMIN BT']
ENALAPRIL	"['(S)-1-(N-(1-(ETHOXYCARBONYL)-3-PHENYLPROPYL)-L-ALANYL)-L-PROLINE', '(S)-1-{(S)-2-[1-((S)-ETHOXYCARBONYL)-3-PHENYL-PROPYLAMINO]-PROPIONYL}-PYRROLIDINE-2-CARBOXYLIC ACID', ""1-(N-((S)-1-CARBOXY-3-PHENYLPROPYL)-L-ALANYL)-L-PROLINE 1'-ETHYL ESTER"", 'ÁNALAPRIL', 'ENALAPRIL', 'ENALAPRILA', 'ENALAPRILUM']"
NIZATIDINE	['N-(4-(6-METHYLAMINO-7-NITRO-2-THIA-5-AZA-6-HEPTEN-1-YL)-2-THIAZOLYLMETHYL)-N,N-DIMETHYLAMINE', 'NIZATIDINA', 'NIZATIDINE', 'NIZATIDINUM']
DICLOFENAC	['[2-(2,6-DICHLOROANILINO)PHENYL]ACETIC ACID', '2-((2,6-DICHLOROPHENYL)AMINO)BENZENEACETIC ACID', 'DICLOFENAC', 'DICLOFENAC ACID', 'DICLOFENACO', 'DICLOFENACUM']
CINALUKAST	"[""3'-((E)-2-(4-CYCLOBUTYL-2-THIAZOLYL)VINYL)-2,2-DIETHYLSUCCINANILIC ACID"", 'CINALUKAST']"
FLUTICASONE PROPIONATE	['FLUTICASONE PROPIONATE']
LISURIDE	"['LISURID', 'LISURIDA', 'LISURIDE', 'LISURIDUM', ""N'-((8ALPHA)-9,10-DIDEHYDRO-6-METHYLERGOLIN-8-YL)-N,N-DIETHYLUREA""]"
DOXAZOSIN	['1-(4-AMINO-6,7-DIMETHOXY-2-CHINAZOLINYL)-4-(2,3-DIHYDRO-1,4-BENZODIOXIXIN-2-YLCARBONYL)PIPERAZIN', '1-(4-AMINO-6,7-DIMETHOXY-2-QUINAZOLINYL)-4-(1,4-BENZODIOXAN-2-YLCARBONYL)PIPERAZIN', 'DOXAZOSIN', 'DOXAZOSINA', 'DOXAZOSINE', 'DOXAZOSINUM']
FLUOCINOLONE ACETONIDE	['6ALPHA-FLUOROTRIAMCINOLONE ACETONIDE', '6ALPHA,9ALPHA-DIFLUORO-16ALPHA-HYDROXYPREDNISOLONE 16,17-ACETONIDE', '6Α-FLUOROTRIAMCINOLONE ACETONIDE', '6Α,9Α-DIFLUORO-16Α-HYDROXYPREDNISOLONE 16,17-ACETONIDE', 'ACÉTONIDE DE FLUOCINOLONE', 'ACETÓNIDO DE FLUOCINOLONA', 'FLUOCINOLON ACETONID', 'FLUOCINOLONE 16,17-ACETONIDE', 'FLUOCINOLONE ACETONIDE', 'FLUOCINOLONI ACETONIDUM']
PIPERAZINE	['DIETHYLENEDIAMINE', 'PIPERAZIDINE', 'PIPERAZIN', 'PIPERAZINA']
ETHOSUXIMIDE	['(±)-2-ETHYL-2-METHYLSUCCINIMIDE', '2-ETHYL-2-METHYLSUCCINIMIDE', '2-METHYL-2-ETHYLSUCCINIMIDE', '3-ETHYL-3-METHYL-2,5-PYRROLIDINEDIONE', '3-ETHYL-3-METHYLSUCCINIMIDE', '3-METHYL-3-ETHYLPYRROLIDINE-2,5-DIONE', '3-METHYL-3-ETHYLSUCCINIMIDE', 'AETHOSUXIMIDE', 'ATYSMAL', 'ETHOSUXIMID', 'ÉTHOSUXIMIDE', 'ETHOSUXIMIDE', 'ETHOSUXIMIDUM', 'ETOSUXIMIDA', 'THILOPEMAL', 'Α-ETHYL-Α-METHYLSUCCINIMIDE', 'Α-METHYL-Α-ETHYLSUCCINIMIDE', 'Γ-ETHYL-Γ-METHYL-SUCCINIMIDE', 'Γ-METHYL-Γ-ETHYL-SUCCINIMIDE']
AMILORIDE	['3,5-DIAMINO-N-CARBAMIMIDOYL-6-CHLOROPYRAZINE-2-CARBOXAMIDE', 'AMILORID', 'AMILORIDA', 'AMILORIDE', 'AMILORIDUM', 'AMIPRAMIDIN', 'AMIPRAMIDINE', 'AMYLORIDE', 'N-AMIDINO-3,5-DIAMINO-6-CHLOROPYRAZINECARBOXAMIDE']
OXYTETRACYCLINE	['5-HYDROXYTETRACYCLINE', 'EMBRYOSTAT', 'HYDROXYTETRACYCLINUM', 'MEPATAR', 'OSSITETRACICLINA', 'OXITETRACICLINA', 'OXYTERRACIN', 'OXYTERRACINE', 'OXYTETRACYCLIN', 'OXYTÉTRACYCLINE', 'OXYTETRACYCLINE', 'OXYTETRACYCLINE (ANHYDROUS)', 'OXYTETRACYCLINE AMPHOTERIC', 'OXYTETRACYCLINUM']
ULOBETASOL	['21-CHLORO DIFLORASONE', 'HALOBETASOL', 'ULOBETASOL', 'ULOBÉTASOL', 'ULOBETASOLUM']
GADOTERIDOL	"[""GADOLINIUM 2,2',2''-[10-(2-HYDROXYPROPYL)-1,4,7,10-TETRAAZACYCLODODECANE-1,4,7-TRIYL]TRIACETATE"", 'GADOLINIUM-HP-DO3A', 'GADOTERIDOL', 'GADOTERIDOLUM', 'GD-HP-DO 3A', 'GD-HPDO3A']"
LABETALOL	['3-CARBOXAMIDO-4-HYDROXY-ALPHA-((1-METHYL-3-PHENYLPROPYLAMINO)METHYL)BENZYL ALCOHOL', '5-(1-HYDROXY-2-(1-METHYL-3-PHENYLPROPYLAMINO)ETHYL)SALICYLAMIDE', 'LABÉTALOL', 'LABETALOL', 'LABETALOLUM', 'LABETOLOL']
THIOPENTAL	['(±)-THIOPENTAL', '2-THIO-5-ETHYL-5-SEC-PENTYLBARBITURIC ACID', '5-ETHYL-5-(1-METHYL-BUTYL)-2-THIOXO-DIHYDRO-PYRIMIDINE-4,6-DIONE', 'PENTHIOBARBITAL', 'PENTOTHIOBARBITAL', 'THIOPENTAL', 'THIOPENTOBARBITAL', 'THIOPENTOBARBITONE', 'THIOPENTOBARBITURIC ACID', 'THIOPENTONE', 'TIOPENTALE']
MONOBENZONE	['4-(BENZYLOXY)PHENOL', '4-(BENZYLOXYL)PHENOL', '4-(PHENYLMETHOXY)PHENOL', '4-BENZYLOXY-PHENOL', '4-BENZYLOXYPHENOL', 'BENZYL P-HYDROXYPHENYL ETHER', 'HYDROCHINON MONOBENZYLETHER', 'HYDROQUINONE BENZYL ETHER', 'HYDROQUINONE MONOBENZYL ETHER', 'MONOBENZONA', 'MONOBENZONE', 'MONOBENZONUM', 'MONOBENZYL HYDROQUINONE', 'P-(BENZYLOXY)PHENOL', 'P-HYDROXYPHENYL BENZYL ETHER']
LINEZOLID	['LINEZOLID', 'LINEZOLIDE', 'LINEZOLIDUM', 'N-(((S)-3-(3-FLUORO-4-MORPHOLINOPHENYL)-2-OXO-5-OXAZOLIDINYL)METHYL)ACETAMIDE']
IVERMECTIN	['IVERMECTIN', 'IVERMECTINA', 'IVERMECTINE', 'IVERMECTINUM']
MEDROXYPROGESTERONE ACETATE	['(6Α)-17-(ACETYLOXY)-6-METHYLPREG-4-ENE-3,20-DIONE', '17-ACETOXY-6Α-METHYLPROGESTERONE', '17Α-HYDROXY-6Α-METHYLPROGESTERONE ACETATE', '6-ALPHA-METHYL-17-ALPHA-ACETOXYPROGESTERONE', '6-ALPHA-METHYL-17-ALPHA-HYDROXYPROGESTERONE ACETATE', '6Α-METHYL-17-ACETOXY PROGESTERONE', '6Α-METHYL-17Α-HYDROXYPROGESTERONE ACETATE', '6Α-METHYL-4-PREGNENE-3,20-DION-17Α-OL ACETATE', 'MEDROXYACETATE PROGESTERONE', 'MEDROXYPROGESTERONE 17-ACETATE', 'METHYLACETOXYPROGESTERONE', 'METIGESTRONA', 'MPA']
CISAPRIDE	['CISAPRID', 'CISAPRIDA', 'CISAPRIDE', 'CISAPRIDUM']
SULINDAC	['(Z)-5-FLUORO-2-METHYL-1-((P-(METHYLSULFINYL)PHENYL)METHYLENE)-1H-INDENE-3-ACETIC ACID', 'CIS-5-FLUORO-2-METHYL-1-((4-(METHYLSULFINYL)PHENYL)METHYLENE)-1H-INDENE-3-ACETIC ACID', 'CIS-5-FLUORO-2-METHYL-1-((P-METHYLSULFINYL)BENZYLIDENE)INDENE-3-ACETIC ACID', 'SULINDAC', 'SULINDACO', 'SULINDACUM']
CYCLOTHIAZIDE	['6-CHLORO-3-(2-NORBORNEN-5-YL)-7-SULFAMYL-3,4-DIHYDRO-1,2,4-BENZOTHIADIAZINE 1,1-DIOXIDE', '6-CHLORO-3,4-DIHYDRO-3-(2-NORBORNEN-5-YL)-2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE 1,1-DIOXIDE', '6-CHLORO-3,4-DIHYDRO-3-(2-NORBORNEN-5-YL)-7-SULFAMOYL-1,2,4-BENZOTHIADIAZINE 1,1-DIOXIDE', '6-CHLORO-3,4-DIHYDRO-3-(5-NORBORNEN-2-YL)-2H-1,2,4-BENZOTHIADIAZINE-7-SULFONAMIDE 1,1-DIOXIDE', 'CICLOTIAZIDA', 'CICLOTIAZIDE', 'CYCLOTHIAZIDE', 'CYCLOTHIAZIDUM']
NAFCILLIN	['(2-ETHOXY-1-NAPHTHALENYL)PENICILLIN', '(2-ETHOXY-1-NAPHTHYL)PENICILLIN', '(2S,5R,6R)-6-[(2-ETHOXY-1-NAPHTHOYL)AMINO]-3,3-DIMETHYL-7-OXO-4-THIA-1-AZABICYCLO[3.2.0]HEPTANE-2-CARBOXYLIC ACID', '6-(2-ETHOXY-1-NAPHTHAMIDO)PENICILLANIC ACID', 'NAFCILINA', 'NAFCILLIN', 'NAFCILLINE', 'NAFCILLINUM', 'NAPHCILLIN']
CHLOROQUINE	['CHLORAQUINE', 'CHLOROCHIN', 'CHLOROQUINA', 'CHLOROQUINE', 'CHLOROQUINIUM', 'CHLOROQUINUM', 'CLOROQUINA', 'N4-(7-CHLORO-4-QUINOLINYL)-N1,N1-DIETHYL-1,4-PENTANEDIAMINE']
ETHIONAMIDE	['2-ETHYL-4-THIOPYRIDYLAMIDE', '2-ETHYLTHIOISONICOTINAMIDE', 'ETH', 'ETHINAMIDE', 'ETHIONAMIDE', 'ETHIONAMIDUM', 'ETHIONIAMIDE', 'ETHYLISOTHIAMIDE', 'ETHYONOMIDE', 'ETIONAMID', 'ETIONAMIDA', 'ETIONAMIDE', 'ETIONIAMID', 'ETP']
METARAMINOL	['(-)-ERYTHRO-METARAMINOL', '1-(M-HYDROXYPHENYL)-2-AMINO-1-PROPANOL', '1-METARAMINOL', '2-AMINO-1-(M-HYDROXYPHENYL)-1-PROPANOL', '3-HYDROXYPHENYLISOPROPANOLAMINE', 'ALPHA-(1-AMINOETHYL)-3-HYDROXYBENZENEMETHANOL', 'ALPHA-(M-HYDROXYPHENYL)-BETA-AMINOPROPANOL', 'HYDROXYNOREPHEDRINE', 'L-METARAMINOL', 'M-HYDROXY NOREPHEDRINE', 'M-HYDROXYPHENYLPROPANOLAMINE', 'M-HYDROXYPROPADRINE', 'METARAMINOL', 'MÉTARAMINOL', 'METARAMINOLUM']
BUTORPHANOL	['(−)-17-(CYCLOBUTYLMETHYL)MORPHINAN-3,14-DIOL', '(−)-BUTORPHANOL', '(−)-N-CYCLOBUTYLMETHYL-3,14-DIHYDROXYMORPHINAN', 'BUTORFANOL', 'BUTORPHANOL', 'BUTORPHANOLUM']
BISOPROLOL	['(+-)-1-((ALPHA-(2-ISOPROPOXYETHOXY)-P-TOLYL)OXY)-3-(ISOPROPYLAMINO)-2-PROPANOL', '(RS)-1-(4-(2-ISOPROPOXYETHOXYMETHYL)PHENOXY)-3-(ISOPROPYLAMINO)-2-PROPANOL', 'BISOPROLOL', 'BISOPROLOLUM']
AMODIAQUINE	['AMODIAQUINA', 'AMODIAQUINE', 'AMODIAQUINUM']
FURAZOLIDONE	"[""3-(5'-NITROFURFURALAMINO)-2-OXAZOLIDONE"", '3-[(5-NITROFURFURYLIDENE)AMINO]-2-OXAZOLIDINONE', '3-[(5-NITROFURFURYLIDENE)AMINO]-2-OXAZOLIDONE', '3-[(5-NITROFURYLIDENE)AMINO]-2-OXAZOLIDONE', '3-{[(5-NITRO-2-FURANYL)METHYLENE]AMINO}-2-OXAZOLIDINONE', '5-NITRO-N-(2-OXO-3-OXAZOLIDINYL)-2-FURANMETHANIMINE', 'FURAZOLIDONA', 'FURAZOLIDONUM', 'FZL', 'N-(5-NITRO-2-FURFURYLIDENE)-3-AMINO-2-OXAZOLIDONE', 'N-(5-NITRO-2-FURFURYLIDENE)-3-AMINOOXAZOLIDINE-2-ONE', 'NITROFURAZOLIDONE', 'NITROFURAZOLIDONUM']"
RIFABUTIN	"[""1,4-DIHYDRO-1-DEOXY-1',4-DIDEHYDRO-5'-(2-METHYLPROPYL)-1-OXORIFAMYCIN XIV"", '4-DEOXO-3,4-(2-SPIRO(N-ISOBUTYL-4-PIPERIDYL)-2,5-DIHYDRO-1H-IMIDAZO)-RIFAMYCIN S', '4-N-ISOBUTYLSPIROPIPERIDYLRIFAMYCIN S', 'ANSAMICIN', 'ANSAMYCIN', 'RIFABUTIN', 'RIFABUTINA', 'RIFABUTINE', 'RIFABUTINUM']"
CANDOXATRIL	['[4(S)-CIS]-4-[[[1-[3-[(2,3-DIHYDRO-1H-INDEB5-YL)OXY]-2-[(2-METHOXYETHOXY)METHYL]-3-OXOPROPYL]CYCLOPENTYL]CARBONYL]AMINO]CYCLOHEXANECARBOXYLIC ACID', '4-({1-[(S)-2-(INDAN-5-YLOXYCARBONYL)-3-(2-METHOXY-ETHOXY)-PROPYL]-CYCLOPENTANECARBONYL}-AMINO)-CYCLOHEXANECARBOXYLIC ACID', 'CANDOXATRIL']
PARAMETHADIONE	['PARAMETADIONA', 'PARAMETADIONE', 'PARAMETHADIONE', 'PARAMETHADIONUM']
DEMECLOCYCLINE	['[4S-(4Α,4AΑ,5AΑ,6Β,12AΑ)]-7-CHLORO-4-(DIMETHYLAMINO)1,4,4A,5,5A,6,11,12A-OCTAHYDRO-3,6,10,12,12A-PENTAHYDROXY-1,11-DIOXO-2-NAPHTHACENECARBOXAMIDE', '6-DEMETHYL-7-CHLOROTETRACYCLINE', '7-CHLORO-6-DEMETHYLTETRACYCLINE', 'DEMECLOCICLINA', 'DEMECLOCYCLINE', 'DEMECLOCYCLINUM', 'DEMETHYLCHLORTETRACYCLIN', 'DEMETHYLCHLORTETRACYCLINE', 'DMCT', 'DMCTC']
IMATINIB	"['IMATINIB', 'IMATINIBUM', ""Α-(4-METHYL-1-PIPERAZINYL)-3'-((4-(3-PYRIDYL)-2-PYRIMIDINYL)AMINO)-P-TOLUIDIDE""]"
TRIAMCINOLONE	['11Β,16Α,17Α,21-TETRAHYDROXY-9Α-FLUORO-1,4-PREGNADIENE-3,20-DIONE', '9-FLUORO-11Β,16Α,17,21-TETRAHYDROXYPREGNA-1,4-DIENE-3,20-DIONE', '9Α-FLUORO-11Β,16Α,17,21-TETRAHYDROXYPREGNA-1,4-DIENE-3,20-DIONE', '9Α-FLUORO-11Β,16Α,17Α,21-TETRAHYDROXYPREGNA-1,4-DIENE-3,20-DIONE', '9Α-FLUORO-16Α-HYDROXYPREDNISOLONE', 'FLUOXYPREDNISOLONE', 'TIAMCINOLONUM', 'TRIAMCINOLONA', 'TRIAMCINOLONE', 'TRIAMCINOLONUM']
OXANDROLONE	['OSSANDROLONE', 'OXANDROLON', 'OXANDROLONA', 'OXANDROLONE', 'OXANDROLONUM']
NICARDIPINE	['NICARDIPINE', 'NICARDIPINO', 'NICARDIPINUM']
FLUPHENAZINE	"['1-(2-HYDROXYETHYL)-4-(3-(TRIFLUOROMETHYL-10-PHENOTHIAZINYL)PROPYL)-PIPERAZINE', '10-(3-(2-HYDROXYETHYL)PIPERAZINOPROPYL)-2-(TRIFLUOROMETHYL)PHENOTHIAZINE', ""10-(3'-(4''-(Β-HYDROXYETHYL)-1''-PIPERAZINYL)-PROPYL)-3-TRIFLUOROMETHYLPHENOTHIAZINE"", '2-(4-(3-[2-(TRIFLUOROMETHYL)-10H-PHENOTHIAZIN-10-YL]PROPYL)-1-PIPERAZINYL)ETHANOL', '2-(TRIFLUOROMETHYL)-10-(3-(1-(Β-HYDROXYETHYL)-4-PIPERAZINYL)PROPYL)PHENOTHIAZINE', '4-(3-(-TRIFLUOROMETHYL-10-PHENOTHIAZYL)-PROPYL)-1-PIPERAZINEETHANOL', '4-(3-(2-(TRIFLUOROMETHYL)-10H-PHENOTHIAZIN-10-YL)PROPYL)-1-PIPERAZINEETHANOL', '4-(3-(2-TRIFLUOROMETHYL-10-PHENOTHIAZYL)-PROPYL)-1-PIPERAZINEETHANOL', 'FLUFENAZINA', 'FLUORFENAZINE', 'FLUOROPHENAZINE', 'FLUORPHENAZINE', 'FLUPHENAZIN', 'FLUPHÉNAZINE', 'FLUPHENAZINE', 'FLUPHENAZINUM', 'TRIFLUMETHAZINE']"
TESTOSTERONE	['17BETA-HYDROXY-4-ANDROSTEN-3-ONE', '4-ANDROSTEN-17Β-OL-3-ONE', 'TESTOSTERON', 'TESTOSTERONA', 'TESTOSTERONE', 'TESTOSTÉRONE', 'TESTOSTERONUM', 'VIROSTERONE']
EFAVIRENZ	['(S)-6-CHLORO-4-(CYCLOPROPYLETHYNYL)-1,4-DIHYDRO-(S)-6-CHLORO-4-(CYCLOPROPYLETHYNYL)-1,4-DIHYDRO-4-(TRIFLUOROMETHYL)-2H-3,1-BENZOXAZIN-2-ONE4-(TRIFLUOROMETHYL)-2H-3,1-BENZOXAZIN-2-ONE', '(S)-6-CHLORO-4-CYCLOPROPYLETHYNYL-4-TRIFLUOROMETHYL-1,4-DIHYDRO-BENZO[D][1,3]OXAZIN-2-ONE', '6-CHLORO-4-(2-CYCLOPROPYL-1-ETHYNYL)-4-TRIFLUOROMETHYL-(4S)-1,4-DIHYDRO-2H-BENZO[D][1,3]OXAZIN-2-ONE', 'EFAVIRENZ', 'ÉFAVIRENZ', 'EFAVIRENZUM']
BACITRACIN	['BACITRACIN', 'BACITRACIN A', 'BACITRACINA']
NIACIN	['3-CARBOXYPYRIDINE', '3-PYRIDINECARBOXYLIC ACID', '3-PYRIDYLCARBOXYLIC ACID', 'ACIDE NICOTINIQUE', 'ÁCIDO NICOTÍNICO', 'ACIDUM NICOTINICUM', 'ANTI-PELLAGRA VITAMIN', 'M-PYRIDINECARBOXYLIC ACID', 'NIACIN', 'NIACINA', 'NICOTINIC ACID', 'NIKOTINSÄURE', 'PYRIDINE-Β-CARBOXYLIC ACID', 'Β-PYRIDINECARBOXYLIC ACID']
CLORAZEPIC ACID	['7-CHLORO-2,3-DIHYDRO-2,2-DIHYDROXY-5-PHENYL-1H-1,4-BENZODIAZEPINE-3-CARBOXYLIC ACID', 'CHLORAZEPATE', 'CLORAZEPATE', 'CLORAZEPIC ACID']
GUANABENZ	['GUANABENZ', 'GUANABENZO', 'GUANABENZUM']
ALENDRONIC ACID	['(4-AMINO-1-HYDROXYBUTANE-1,1-DIYL)BIS(PHOSPHONIC ACID)', '(4-AMINO-1-HYDROXYBUTYLIDENE)BISPHOSPHONIC ACID', '4-AMINO-1-HYDROXYBUTANE-1,1-DIPHOSPHONIC ACID', 'ABDP', 'ACIDE ALENDRONIQUE', 'ACIDO ALENDRONICO', 'ACIDUM ALENDRONICUM', 'ALENDRONATE', 'ALENDRONIC ACID']
CLOFARABINE	"['(2R,3R,4S,5R)-5-(6-AMINO-2-CHLOROPURIN-9-YL)-4-FLUORO-2-(HYDROXYMETHYL)OXOLAN-3-OL', '2-CHLORO-9-(2-DEOXY-2-FLUORO-Β-D-ARABINOFURANOSYL)ADENINE', ""2-CHLORO-9-(2'-DEOXY-2'-FLUORO-Β-D-ARABINOFURANOSYL)ADENINE"", 'CAFDA', 'CL-F-ARA-A', 'CLOFARABIN', 'CLOFARABINA', 'CLOFARABINE', 'CLOFARABINUM']"
DOCOSANOL	['1-DOCOSANOL', 'BEHENIC ALCOHOL', 'BEHENYL ALCOHOL', 'DOCOSAN-1-OL', 'DOCOSANOL', 'DOCOSYL ALCOHOL', 'N-DOCOSANOL']
DEXMEDETOMIDINE	['(+)-4-((S)-ALPHA,2,3-TRIMETHYLBENZYL)IMIDAZOLE', '(+)-4-((S)-Α,2,3-TRIMETHYLBENZYL)IMIDAZOLE', 'DEXMEDETOMIDIN', 'DEXMEDETOMIDINA', 'DEXMÉDÉTOMIDINE', 'DEXMEDETOMIDINE', 'DEXMEDETOMIDINUM']
SULFACETAMIDE	"['ACETOSULFAMINE', 'N-((P-AMINOPHENYL)SULFONYL)ACETAMIDE', 'N-(P-AMINOBENZENESULFONYL)ACETAMIDE', 'N-[(P-AMINOPHENYL)SULFONYL]ACETAMIDE', 'N-ACETYL-4-AMINOBENZENESULFONAMIDE', 'N-ACETYLSULFANILAMIDE', 'N-SULFANILYLACETAMIDE', 'N-SULPHANILYLACETAMIDE', ""N'-ACETYLSULFANILAMIDE"", 'N(1)-ACETYL-4-AMINOPHENYLSULFONAMIDE', 'N(1)-ACETYLSULFANILAMIDE', 'P-AMINOBENZENESULFONACETAMIDE', 'P-AMINOBENZENESULFONOACETAMIDE', 'SULFACETAMID', 'SULFACETAMIDA', 'SULFACÉTAMIDE', 'SULFACETAMIDE', 'SULFACETAMIDUM', 'SULFANILAZETAMID', 'SULPHACETAMIDE', 'SULPHACETAMIDUM']"
PREDNISONE	['1,2-DEHYDROCORTISONE', '1,4-PREGNADIENE-17Α,21-DIOL-3,11,20-TRIONE', '17,21-DIHYDROXYPREGNA-1,4-DIENE-3,11,20-TRIONE', 'DEHYDROCORTISONE', 'PREDNISONA', 'PREDNISONE', 'PREDNISONUM']
CLOFIBRATE	['2-(4-CHLOROPHENOXY)-2-METHYLPROPANOIC ACID ETHYL ESTER', '2-(P-CHLOROPHENOXY)-2-METHYLPROPIONIC ACID ETHYL ESTER', 'ALPHA-(P-CHLOROPHENOXY)ISOBUTYRIC ACID, ETHYL ESTER', 'ALPHA-P-CHLOROPHENOXYISOBUTYRYL ETHYL ESTER', 'CLOFIBRATE', 'CLOFIBRATO', 'CLOFIBRATUM', 'EPIB', 'ETHYL 2-(P-CHLOROPHENOXY)ISOBUTYRATE', 'ETHYL CHLOROPHENOXYISOBUTYRATE', 'ETHYL CLOFIBRATE', 'LIPRIN']
ASTEMIZOLE	['1-(P-FLUOROBENZYL)-2-((1-(2-(P-METHOXYPHENYL)ETHYL)PIPERID-4-YL)AMINO)BENZIMIDAZOLE', '1-(P-FLUOROBENZYL)-2-((1-(P-METHOXYPHENETHYL)-4-PIPERIDYL)AMINO)BENZIMIDAZOLE', 'ASTEMIZOL', 'ASTÉMIZOLE', 'ASTEMIZOLE', 'ASTEMIZOLUM']
BUTOCONAZOLE	['1-[4-(4-CHLORO-PHENYL)-2-(2,6-DICHLORO-PHENYLSULFANYL)-BUTYL]-1H-IMIDAZOLE', 'BUTOCONAZOL', 'BUTOCONAZOLE', 'BUTOCONAZOLUM']
ADENOSINE	['(2R,3R,4S,5R)-2-(6-AMINOPURIN-9-YL)-5-(HYDROXYMETHYL)OXOLANE-3,4-DIOL', '6-AMINO-9-BETA-D-RIBOFURANOSYL-9H-PURINE', '9-BETA-D-RIBOFURANOSIDOADENINE', '9-BETA-D-RIBOFURANOSYL-9H-PURIN-6-AMINE', '9-Β-D-RIBOFURANOSYL-9H-PURIN-6-AMINE', 'ADE-RIB', 'ADENIN RIBOSIDE', 'ADENINE DEOXYRIBONUCLEOSIDE', 'ADENOGESIC', 'ADENOSIN', 'ADENOSINA', 'ADÉNOSINE', 'ADENOSINE', 'ADENOSINUM', 'ADO', 'BETA-D-ADENOSINE']
SIMVASTATIN	['2,2-DIMETHYLBUTYRIC ACID, 8-ESTER WITH (4R,6R)-6-(2-((1S,2S,6R,8S,8AR)-1,2,6,7,8,8A-HEXAHYDRO-8-HYDROXY-2,6-DIMETHYL-1-NAPHTHYL)ETHYL)TETRAHYDRO-4-HYDROXY-2H-PYRAN-2-ONE', 'SIMVASTATIN', 'SIMVASTATINA', 'SIMVASTATINE', 'SIMVASTATINUM']
PEMETREXED	['PEMETREXED']
MEBENDAZOLE	['(5-BENZOYL-1H-BENZIMIDAZOL-2-YL)-CARBAMIC ACID METHYL ESTER', 'MBDZ', 'MEBENDAZOL', 'MÉBENDAZOLE', 'MEBENDAZOLE', 'MEBENDAZOLUM']
GONADORELIN	['GNRH', 'GONADORELIN', 'GONADORELINA', 'GONADORÉLINE', 'GONADORELINUM', 'GONADOTROPIN-RELEASING HORMONE']
DYCLONINE	"['1-(4-BUTOXYPHENYL)-3-(1-PIPERIDINYL)-1-PROPANONE', '2-(1-PIPERIDYL)ETHYL P-BUTOXYPHENYL KETONE', ""3-PIPERIDINO-4'-BUTOXYPROPIOPHENONE"", '4-BUTOXY-Β-PIPERIDINOPROPIOPHENONE', '4-N-BUTOXY-Β-(1-PIPERIDYL)PROPIOPHENONE', ""4'-BUTOXY-3-PIPERIDINOPROPIOPHENONE"", 'DICLONINA', 'DYCLOCAINE', 'DYCLONIN', 'DYCLONINE', 'DYCLONINUM']"
NYSTATIN	['NISTATINA', 'NYS', 'NYSTATIN', 'NYSTATINE', 'NYSTATINUM']
DEXTROPROPOXYPHENE	['D-PROPOXYPHENE', 'DESTROPROPOSSIFENE', 'DEXTROPROPOXIFENO', 'DEXTROPROPOXYPHEN', 'DEXTROPROPOXYPHÈNE', 'DEXTROPROPOXYPHENE', 'DEXTROPROPOXYPHENUM', 'DEXTROPROXIFENO', 'PROPOXYPHENE']
MITOTANE	['MITOTAN', 'MITOTANE', 'MITOTANO', 'MITOTANUM']
STAVUDINE	"['1-(2,3-DIDEOXY-BETA-D-GLYCERO-PENT-2-ENOFURANOSYL)THYMINE', ""2',3'-DIDEHYDRO-3'-DEOXYTHIMIDINE"", ""3'-DEOXY-2'-THYMIDINENE"", 'ESTAVUDINA', 'SANILVUDINE', 'STAVUDIN', 'STAVUDINE', 'STAVUDINUM', 'STV']"
LEUCOVORIN	['(5-FORMYL-5,6,7,8-TETRAHYDROPTEROYL)GLUTAMATE', '10-FORMYL-7,8-DIHYDROFOLIC ACID', '5-FORMYL-5,6,7,8-TETRAHYDROFOLIC ACID', '5-FORMYL-5,6,7,8-TETRAHYDROPTEROYL-L-GLUTAMIC ACID', '5-FORMYLTETRAHYDROFOLATE', '5-FORMYLTETRAHYDROFOLIC ACID', 'ACIDE FOLINIQUE', 'ACIDO FOLINICO', 'FOLINATE', 'FOLINIC ACID', 'L(-)-5-FORMYL-5,6,7,8-TETRAHYDROFOLIC ACID', 'LEUCOVORINUM', 'N-(5-FORMYL-5,6,7,8-TETRAHYDROPTEROYL)-L-GLUTAMIC ACID', 'N5-FORMYL-5,6,7,8-TETRAHYDROFOLIC ACID', 'N5-FORMYLTETRAHYDROFOLIC ACID']
