A	ALIMENTARY TRACT AND METABOLISM
D07A C05	FLUOCORTOLONE
D07A C06	DIFLUCORTOLONE
D07A C07	FLUDROXYCORTIDE
D07A C08	FLUOCINONIDE
D07A C09	BUDESONIDE
D07A C10	DIFLORASONE
D07A C11	AMCINONIDE
D07A C12	HALOMETASONE
D07A C13	MOMETASONE
D07A C14	METHYLPREDNISOLONE ACEPONATE
D07A C15	BECLOMETASONE
D07A C16	HYDROCORTISONE ACEPONATE
D07A C17	FLUTICASONE
D07A C18	PREDNICARBATE
D07A C19	DIFLUPREDNATE
D07A C21	ULOBETASOL
D07A D	"CORTICOSTEROIDS, VERY POTENT (GROUP IV)"
D07A D01	CLOBETASOL
D07A D02	HALCINONIDE
D07B	"CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS"
D07B A	"CORTICOSTEROIDS, WEAK, COMBINATIONS WITH ANTISEPTICS"
D07B A01	PREDNISOLONE AND ANTISEPTICS
D07B A04	HYDROCORTISONE AND ANTISEPTICS
D07B B	"CORTICOSTEROIDS, MODERATELY POTENT, COMBINATIONS WITH ANTISEPTICS"
D07B B01	FLUMETASONE AND ANTISEPTICS
D07B B02	DESONIDE AND ANTISEPTICS
D07B B03	TRIAMCINOLONE AND ANTISEPTICS
D07B B04	HYDROCORTISONE BUTYRATE AND ANTISEPTICS
D07B C	"CORTICOSTEROIDS, POTENT, COMBINATIONS WITH ANTISEPTICS"
D07B C01	BETAMETHASONE AND ANTISEPTICS
D07B C02	FLUOCINOLONE ACETONIDE AND ANTISEPTICS
D07B C03	FLUOCORTOLONE AND ANTISEPTICS
D07B C04	DIFLUCORTOLONE AND ANTISEPTICS
D07B D	"CORTICOSTEROIDS, VERY POTENT, COMBINATIONS WITH ANTISEPTICS"
D07C	"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS"
D07C A	"CORTICOSTEROIDS, WEAK, COMBINATIONS WITH ANTIBIOTICS"
D07C A01	HYDROCORTISONE AND ANTIBIOTICS
D07C A02	METHYLPREDNISOLONE AND ANTIBIOTICS
D07C A03	PREDNISOLONE AND ANTIBIOTICS
D07C B	"CORTICOSTEROIDS, MODERATELY POTENT, COMBINATIONS WITH ANTIBIOTICS"
D07C B01	TRIAMCINOLONE AND ANTIBIOTICS
D07C B02	FLUPREDNIDENE AND ANTIBIOTICS
D07C B03	FLUOROMETHOLONE AND ANTIBIOTICS
D07C B04	DEXAMETHASONE AND ANTIBIOTICS
D07C B05	FLUMETASONE AND ANTIBIOTICS
D07C C	"CORTICOSTEROIDS, POTENT, COMBINATIONS WITH ANTIBIOTICS"
D07C C01	BETAMETHASONE AND ANTIBIOTICS
D07C C02	FLUOCINOLONE ACETONIDE AND ANTIBIOTICS
D07C C03	FLUDROXYCORTIDE AND ANTIBIOTICS
D07C C04	BECLOMETASONE AND ANTIBIOTICS
D07C C05	FLUOCINONIDE AND ANTIBIOTICS
D07C C06	FLUOCORTOLONE AND ANTIBIOTICS
D07C D	"CORTICOSTEROIDS, VERY POTENT, COMBINATIONS WITH ANTIBIOTICS"
D07C D01	CLOBETASOL AND ANTIBIOTICS
D07X	"CORTICOSTEROIDS, OTHER COMBINATIONS"
D07X A	"CORTICOSTEROIDS, WEAK, OTHER COMBINATIONS"
D07X A01	HYDROCORTISONE
D07X A02	PREDNISOLONE
D07X B	"CORTICOSTEROIDS, MODERATELY POTENT, OTHER COMBINATIONS"
D07X B01	FLUMETASONE
D07X B02	TRIAMCINOLONE
D07X B03	FLUPREDNIDENE
D07X B04	FLUOROMETHOLONE
D07X B05	DEXAMETHASONE
D07X B30	COMBINATIONS OF CORTICOSTEROIDS
D07X C	"CORTICOSTEROIDS, POTENT, OTHER COMBINATIONS"
D07X C01	BETAMETHASONE
D07X C02	DESOXIMETASONE
D07X C03	MOMETASONE
D07X C05	FLUOCORTOLONE
D07X D	"CORTICOSTEROIDS, VERY POTENT, OTHER COMBINATIONS"
D08	ANTISEPTICS AND DISINFECTANTS
D08A	ANTISEPTICS AND DISINFECTANTS
D08A A	ACRIDINE DERIVATIVES
D08A A01	ETHACRIDINE LACTATE
D08A A02	AMINOACRIDINE
D08A A03	EUFLAVINE
D08A B	ALUMINIUM AGENTS
D08A C	BIGUANIDES AND AMIDINES
D08A C01	DIBROMPROPAMIDINE
D08A C02	CHLORHEXIDINE
D08A C03	PROPAMIDINE
D08A C04	HEXAMIDINE
D08A C05	POLIHEXANIDE
D08A C52	"CHLORHEXIDINE, COMBINATIONS"
D08A D	BORIC ACID PRODUCTS
D08A E	PHENOL AND DERIVATIVES
D08A E01	HEXACHLOROPHENE
D08A E02	POLICRESULEN
D08A E03	PHENOL
D08A E04	TRICLOSAN
D08A E05	CHLOROXYLENOL
D08A F	NITROFURAN DERIVATIVES
D08A F01	NITROFURAL
D08A G	IODINE PRODUCTS
D08A G01	IODINE/OCTYLPHENOXYPOLYGLYCOLETHER
D08A G02	POVIDONE-IODINE
D08A G03	IODINE
D08A G04	DIIODOHYDROXYPROPANE
D08A G05	CADEXOMER IODINE
D08A H	QUINOLINE DERIVATIVES
D08A H01	DEQUALINIUM
D08A H02	CHLORQUINALDOL
D08A H03	OXYQUINOLINE
D08A H30	CLIOQUINOL
D08A J	QUATERNARY AMMONIUM COMPOUNDS
D08A J01	BENZALKONIUM
D08A J02	CETRIMONIUM
D08A J03	CETYLPYRIDINIUM
D08A J04	CETRIMIDE
D08A J05	BENZOXONIUM CHLORIDE
D08A J06	DIDECYLDIMETHYLAMMONIUM CHLORIDE
D08A J08	BENZETHONIUM CHLORIDE
D08A J10	DECAMETHOXINE
D08A J57	"OCTENIDINE, COMBINATIONS"
D08A J59	"DODECLONIUM BROMIDE, COMBINATIONS"
D08A K	MERCURIAL PRODUCTS
D08A K01	MERCURIC AMIDOCHLORIDE
D08A K02	PHENYLMERCURIC BORATE
D08A K03	MERCURIC CHLORIDE
D08A K04	MERCUROCHROME
D08A K05	"MERCURY, METALLIC"
D08A K06	THIOMERSAL
D08A K30	MERCURIC IODIDE
D08A L	SILVER COMPOUNDS
D08A L01	SILVER NITRATE
D08A L30	SILVER
D08A X	OTHER ANTISEPTICS AND DISINFECTANTS
D08A X01	HYDROGEN PEROXIDE
D08A X02	EOSIN
D08A X03	PROPANOL
D08A X04	TOSYLCHLORAMIDE SODIUM
D08A X05	ISOPROPANOL
D08A X06	POTASSIUM PERMANGANATE
D08A X07	SODIUM HYPOCHLORITE
D08A X52	"ISOPROPANOL, COMBINATIONS"
D08A X53	"PROPANOL, COMBINATIONS"
D08X	ETHANOL
D09	MEDICATED DRESSINGS
D09A	MEDICATED DRESSINGS
D09A A	OINTMENT DRESSINGS WITH ANTIINFECTIVES
D09A A01	FRAMYCETIN
D09A A02	FUSIDIC ACID
D09A A03	NITROFURAL
D09A A04	PHENYLMERCURIC NITRATE
D09A A05	BENZODODECINIUM
D09A A06	TRICLOSAN
D09A A07	CETYLPYRIDINIUM
D09A A08	ALUMINIUM CHLOROHYDRATE
D09A A09	POVIDONE-IODINE
D09A A10	CLIOQUINOL
D09A A11	BENZALKONIUM
D09A A12	CHLORHEXIDINE
D09A A13	IODOFORM
D09A B	ZINC BANDAGES
D09A B01	ZINC BANDAGE WITHOUT SUPPLEMENTS
D09A B02	ZINC BANDAGE WITH SUPPLEMENTS
D09A X	SOFT PARAFFIN DRESSINGS
D10	ANTI-ACNE PREPARATIONS
D10A	ANTI-ACNE PREPARATIONS FOR TOPICAL USE
D10A A	"CORTICOSTEROIDS, COMBINATIONS FOR TREATMENT OF ACNE"
D10A A01	FLUOROMETHOLONE
D10A A02	METHYLPREDNISOLONE
D10A A03	DEXAMETHASONE
D10A B	PREPARATIONS CONTAINING SULFUR
D10A B01	BITHIONOL
D10A B02	SULFUR
D10A B03	TIOXOLONE
D10A B05	MESULFEN
D10A D	RETINOIDS FOR TOPICAL USE IN ACNE
D10A D01	TRETINOIN
D10A D02	RETINOL
D10A D03	ADAPALENE
D10A D04	ISOTRETINOIN
D10A D05	MOTRETINIDE
D10A D51	"TRETINOIN, COMBINATIONS"
D10A D53	"ADAPALENE, COMBINATIONS"
D10A D54	"ISOTRETINOIN, COMBINATIONS"
D10A E	PEROXIDES
D10A E01	BENZOYL PEROXIDE
D10A E51	"BENZOYL PEROXIDE, COMBINATIONS"
D10A F	ANTIINFECTIVES FOR TREATMENT OF ACNE
D10A F01	CLINDAMYCIN
D10A F02	ERYTHROMYCIN
D10A F03	CHLORAMPHENICOL
D10A F04	MECLOCYCLINE
D10A F05	NADIFLOXACIN
D10A F06	SULFACETAMIDE
D10A F51	"CLINDAMYCIN, COMBINATIONS"
D10A F52	"ERYTHROMYCIN, COMBINATIONS"
D10A X	OTHER ANTI-ACNE PREPARATIONS FOR TOPICAL USE
D10A X01	ALUMINIUM CHLORIDE
D10A X02	RESORCINOL
D10A X03	AZELAIC ACID
D10A X04	ALUMINIUM OXIDE
D10A X05	DAPSONE
D10A X30	VARIOUS COMBINATIONS
D10B	ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE
D10B A	RETINOIDS FOR TREATMENT OF ACNE
D10B A01	ISOTRETINOIN
D10B X	OTHER ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE
D10B X01	ICHTASOL
D11	OTHER DERMATOLOGICAL PREPARATIONS
D11A	OTHER DERMATOLOGICAL PREPARATIONS
D11A A	ANTIHIDROTICS
D11A C	MEDICATED SHAMPOOS
D11A C01	CETRIMIDE
D11A C02	CADMIUM COMPOUNDS
D11A C03	SELENIUM COMPOUNDS
D11A C06	POVIDONE-IODINE
D11A C08	SULFUR COMPOUNDS
D11A C09	XENYSALATE
D11A C30	OTHERS
D11A E	ANDROGENS FOR TOPICAL USE
D11A E01	METANDIENONE
D11A F	WART AND ANTI-CORN PREPARATIONS
D11A H	"AGENTS FOR DERMATITIS, EXCLUDING CORTICOSTEROIDS"
D11A H01	TACROLIMUS
D11A H02	PIMECROLIMUS
D11A H03	CROMOGLICIC ACID
D11A H04	ALITRETINOIN
D11A H05	DUPILUMAB
D11A X	OTHER DERMATOLOGICALS
D11A X01	MINOXIDIL
D11A X02	GAMOLENIC ACID
D11A X03	CALCIUM GLUCONATE
D11A X04	LITHIUM SUCCINATE
D11A X05	MAGNESIUM SULFATE
D11A X06	MEQUINOL
D11A X08	TIRATRICOL
D11A X09	OXACEPROL
D11A X10	FINASTERIDE
D11A X11	HYDROQUINONE
D11A X14	TACROLIMUS - OLD CODE
D11A X15	PIMECROLIMUS - OLD CODE
D11A X16	EFLORNITHINE
D11A X17	CROMOGLICIC ACID - OLD CODE
D11A X18	DICLOFENAC
D11A X19	ALITRETINOIN - OLD CODE
D11A X21	BRIMONIDINE
D11A X22	IVERMECTIN
D11A X23	AMINOBENZOATE POTASSIUM
D11A X24	DEOXYCHOLIC ACID
D11A X52	"GAMOLENIC ACID, COMBINATIONS"
D11A X57	"COLLAGEN, COMBINATIONS"
G	GENITO URINARY SYSTEM AND SEX HORMONES
G0	GENITO URINARY SYSTEM AND SEX HORMONES
G01	GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
G01A	"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
G01A A	ANTIBIOTICS
G01A A01	NYSTATIN
G01A A02	NATAMYCIN
G01A A03	AMPHOTERICIN B
G01A A04	CANDICIDIN
G01A A05	CHLORAMPHENICOL
G01A A06	HACHIMYCIN
G01A A07	OXYTETRACYCLINE
G01A A08	CARFECILLIN
G01A A09	MEPARTRICIN
G01A A10	CLINDAMYCIN
G01A A11	PENTAMYCIN
G01A A51	"NYSTATIN, COMBINATIONS"
G01A B	ARSENIC COMPOUNDS
G01A B01	ACETARSOL
G01A C	QUINOLINE DERIVATIVES
G01A C01	DIIODOHYDROXYQUINOLINE
G01A C02	CLIOQUINOL
G01A C03	CHLORQUINALDOL
G01A C05	DEQUALINIUM
G01A C06	BROXYQUINOLINE
G01A C30	OXYQUINOLINE
G01A D	ORGANIC ACIDS
G01A D01	LACTIC ACID
G01A D02	ACETIC ACID
G01A E	SULFONAMIDES
G01A E01	SULFATOLAMIDE
G01A E10	COMBINATIONS OF SULFONAMIDES
G01A F	IMIDAZOLE DERIVATIVES
G01A F01	METRONIDAZOLE
G01A F02	CLOTRIMAZOLE
G01A F04	MICONAZOLE
G01A F05	ECONAZOLE
G01A F06	ORNIDAZOLE
G01A F07	ISOCONAZOLE
G01A F08	TIOCONAZOLE
G01A F10	NIMORAZOLE
G01A F11	KETOCONAZOLE
G01A F12	FENTICONAZOLE
G01A F13	AZANIDAZOLE
G01A F14	PROPENIDAZOLE
G01A F15	BUTOCONAZOLE
G01A F16	OMOCONAZOLE
G01A F17	OXICONAZOLE
G01A F18	FLUTRIMAZOLE
G01A F19	SERTACONAZOLE
G01A F20	COMBINATIONS OF IMIDAZOLE DERIVATIVES
G01A G	TRIAZOLE DERIVATIVES
G01A G02	TERCONAZOLE
G01A X	OTHER ANTIINFECTIVES AND ANTISEPTICS
G01A X01	CLODANTOIN
G01A X02	INOSINE
G01A X03	POLICRESULEN
G01A X05	NIFURATEL
G01A X06	FURAZOLIDONE
G01A X09	METHYLROSANILINE
G01A X11	POVIDONE-IODINE
G01A X12	CICLOPIROX
G01A X13	PROTIOFATE
G01A X14	LACTOBACILLUS FERMENTUM
G01A X15	COPPER USNATE
G01A X16	HEXETIDINE
G01A X66	"OCTENIDINE, COMBINATIONS"
G01B	ANTIINFECTIVES/ANTISEPTICS IN COMBINATION WITH CORTICOSTEROIDS
G01B A	ANTIBIOTICS AND CORTICOSTEROIDS
G01B C	QUINOLINE DERIVATIVES AND CORTICOSTEROIDS
G01B D	ANTISEPTICS AND CORTICOSTEROIDS
G01B E	SULFONAMIDES AND CORTICOSTEROIDS
G01B F	IMIDAZOLE DERIVATIVES AND CORTICOSTEROIDS
G02	OTHER GYNECOLOGICALS
G02A	UTEROTONICS
G02A B	ERGOT ALKALOIDS
G02A B01	METHYLERGOMETRINE
G02A B02	ERGOT ALKALOIDS
G02A B03	ERGOMETRINE
G02A C	"ERGOT ALKALOIDS AND OXYTOCIN INCL. ANALOGUES, IN COMBINATION"
G02A C01	METHYLERGOMETRINE AND OXYTOCIN
G02A D	PROSTAGLANDINS
G02A D01	DINOPROST
G02A D02	DINOPROSTONE
G02A D03	GEMEPROST
G02A D04	CARBOPROST
G02A D05	SULPROSTONE
G02A D06	MISOPROSTOL
G02A X	OTHER UTEROTONICS
G02B	CONTRACEPTIVES FOR TOPICAL USE
G02B A	INTRAUTERINE CONTRACEPTIVES
G02B A01	PLASTIC IUD
G02B A02	PLASTIC IUD WITH COPPER
G02B A03	PLASTIC IUD WITH PROGESTOGENS
G02B B	INTRAVAGINAL CONTRACEPTIVES
G02B B01	INTRAVAGINAL CONTRACEPTIVE WITH PROGESTOGENS AND ESTROGENS
G02C	OTHER GYNECOLOGICALS
G02C A	"SYMPATHOMIMETICS, LABOUR REPRESSANTS"
G02C A01	RITODRINE
G02C A02	BUPHENINE
G02C A03	FENOTEROL
G02C B	PROLACTINE INHIBITORS
G02C B01	BROMOCRIPTINE
G02C B02	LISURIDE
G02C B03	CABERGOLINE
G02C B04	QUINAGOLIDE
G02C B05	METERGOLINE
G02C B06	TERGURIDE
G02C C	ANTIINFLAMMATORY PRODUCTS FOR VAGINAL ADMINISTRATION
G02C C01	IBUPROFEN
G02C C02	NAPROXEN
G02C C03	BENZYDAMINE
G02C C04	FLUNOXAPROFEN
G02C X	OTHER GYNECOLOGICALS
G02C X01	ATOSIBAN
G02C X02	FLIBANSERIN
G02C X03	AGNI CASTI FRUCTUS
G02C X04	CIMICIFUGAE RHIZOMA
G03	SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03A	HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE
G03A A	"PROGESTOGENS AND ESTROGENS, FIXED COMBINATIONS"
G03A A01	ETYNODIOL AND ETHINLYLESTRADIOL
G03A A02	QUINGESTANOL AND ETHINLYLESTRADIOL
G03A A03	LYNESTRENOL AND ETHINLYLESTRADIOL
G03A A04	MEGESTROL AND ETHINLYLESTRADIOL
G03A A05	NORETHISTERONE AND ETHINLYLESTRADIOL
G03A A06	NORGESTREL AND ETHINLYLESTRADIOL
G03A A07	LEVONORGESTREL AND ETHINLYLESTRADIOL
G03A A08	MEDROXYPROGESTERONE AND ETHINLYLESTRADIOL
G03A A09	DESOGESTREL AND ETHINLYLESTRADIOL
G03A A10	GESTODENE AND ETHINLYLESTRADIOL
G03A A11	NORGESTIMATE AND ETHINLYLESTRADIOL
G03A A12	DROSPIRENONE AND ETHINLYLESTRADIOL
G03A A13	NORELGESTROMIN AND ETHINLYLESTRADIOL
G03A A14	NOMEGESTROL AND ETHINLYLESTRADIOL
G03A A15	CHLORMADINONE AND ETHINLYLESTRADIOL
G03A A16	DIENOGEST AND ETHINYLESTRADIOL
G03A B	"PROGESTOGENS AND ESTROGENS, SEQUENTIAL PREPARATIONS"
G03A B01	MEGESTROL AND ETHINLYLESTRADIOL
G03A B02	LYNESTRENOL AND ETHINLYLESTRADIOL
G03A B03	LEVONORGESTREL AND ETHINLYLESTRADIOL
G03A B04	NORETHISTERONE AND ETHINLYLESTRADIOL
G03A B05	DESOGESTREL AND ETHINLYLESTRADIOL
G03A B06	GESTODENE AND ETHINLYLESTRADIOL
G03A B07	CHLORMADINONE AND ETHINLYLESTRADIOL
G03A B08	DIENOGEST AND ETHINLYLESTRADIOL
G03A C	PROGESTOGENS
G03A C01	NORETHISTERONE
G03A C02	LYNESTRENOL
G03A C03	LEVONORGESTREL
G03A C04	QUINGESTANOL
G03A C05	MEGESTROL
G03A C06	MEDROXYPROGESTERONE
G03A C07	NORGESTRIENONE
G03A C08	ETONOGESTREL
G03A C09	DESOGESTREL
G03A C10	DROSPIRENONE
G03A D	EMERGENCY CONTRACEPTIVES
G03A D01	LEVONORGESTREL
G03A D02	ULIPRISTAL
G03B	ANDROGENS
G03B A	3-OXOANDROSTEN (4) DERIVATIVES
G03B A01	FLUOXYMESTERONE
G03B A02	METHYLTESTOSTERONE
G03B A03	TESTOSTERONE
G03B B	5-ANDROSTANON (3) DERIVATIVES
G03B B01	MESTEROLONE
G03B B02	ANDROSTANOLONE
G03C	ESTROGENS
G03C A	"NATURAL AND SEMISYNTHETIC ESTROGENS, PLAIN"
G03C A01	ETHINYLESTRADIOL
G03C A03	ESTRADIOL
G03C A04	ESTRIOL
G03C A06	CHLOROTRIANISENE
G03C A07	ESTRONE
G03C A09	PROMESTRIENE
G03C A53	"ESTRADIOL, COMBINATIONS"
G03C A57	CONJUGATED ESTROGENS
G03C B	"SYNTHETIC ESTROGENS, PLAIN"
G03C B01	DIENESTROL
G03C B02	DIETHYLSTILBESTROL
G03C B03	METHALLENESTRIL
G03C B04	MOXESTROL
G03C C	"ESTROGENS, COMBINATIONS WITH OTHER DRUGS"
G03C C02	"DIENESTROL, COMBINATIONS"
G03C C03	"METHALLENESTRIL, COMBINATIONS"
G03C C04	"ESTRONE, COMBINATIONS"
G03C C05	"DIETHYLSTILBESTROL, COMBINATIONS"
G03C C06	"ESTRIOL, COMBINATIONS"
G03C C07	CONJUGATED ESTROGENS AND BAZEDOXIFENE
G03C X	OTHER ESTROGENS
G03C X01	TIBOLONE
G03D	PROGESTOGENS
G03D A	PREGNEN (4) DERIVATIVES
G03D A01	GESTONORONE
G03D A02	MEDROXYPROGESTERONE
G03D A03	HYDROXYPROGESTERONE
G03D A04	PROGESTERONE
G03D B	PREGNADIEN DERIVATIVES
G03D B01	DYDROGESTERONE
G03D B02	MEGESTROL
G03D B03	MEDROGESTONE
G03D B04	NOMEGESTROL
G03D B05	DEMEGESTONE
G03D B06	CHLORMADINONE
G03D B07	PROMEGESTONE
G03D B08	DIENOGEST
G03D C	ESTREN DERIVATIVES
G03D C01	ALLYLESTRENOL
G03D C02	NORETHISTERONE
G03D C03	LYNESTRENOL
G03D C04	ETHISTERONE
G03D C05	TIBOLONE - OLD CODE
G03D C06	ETYNODIOL
G03D C31	METHYLESTRENOLONE
G03E	ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION
G03E A	ANDROGENS AND ESTROGENS
G03E A01	METHYLTESTOSTERONE AND ESTROGEN
G03E A02	TESTOSTERONE AND ESTROGEN
G03E A03	PRASTERONE AND ESTROGEN
G03E B	"ANDROGEN, PROGESTOGEN AND ESTROGEN IN COMBINATION"
G03E K	ANDROGENS AND FEMALE SEX HORMONES IN COMBINATION WITH OTHER DRUGS
G03E K01	METHYLTESTOSTERONE
G03F	PROGESTOGENS AND ESTROGENS IN COMBINATION
G03F A	"PROGESTOGENS AND ESTROGENS, COMBINATIONS"
G03F A01	NORETHISTERONE AND ESTROGEN
G03F A02	HYDROXYPROGESTERONE AND ESTROGEN
G03F A03	ETHISTERONE AND ESTROGEN
G03F A04	PROGESTERONE AND ESTROGEN
G03F A05	METHYLNORTESTOSTERONE AND ESTROGEN
G03F A06	ETYNODIOL AND ESTROGEN
G03F A07	LYNESTRENOL AND ESTROGEN
G03F A08	MEGESTROL AND ESTROGEN
G03F A09	NORETYNODREL AND ESTROGEN
G03F A10	NORGESTREL AND ESTROGEN
G03F A11	LEVONORGESTREL AND ESTROGEN
G03F A12	MEDROXYPROGESTERONE AND ESTROGEN
G03F A13	NORGESTIMATE AND ESTROGEN
G03F A14	DYDROGESTERONE AND ESTROGEN
G03F A16	TRIMEGESTONE AND ESTROGEN
G03F A17	DROSPIRENONE AND ESTROGEN
G03F B	"PROGESTOGENS AND ESTROGENS, SEQUENTIAL PREPARATIONS"
G03F B01	NORGESTREL AND ESTROGEN
G03F B02	LYNESTRENOL AND ESTROGEN
G03F B03	CHLORMADINONE AND ESTROGEN
G03F B04	MEGESTROL AND ESTROGEN
G03F B05	NORETHISTERONE AND ESTROGEN
G03F B06	MEDROXYPROGESTERONE AND ESTROGEN
G03F B07	MEDROGESTONE AND ESTROGEN
G03F B08	DYDROGESTERONE AND ESTROGEN
G03F B09	LEVONORGESTREL AND ESTROGEN
G03F B10	DESOGESTREL AND ESTROGEN
G03F B12	NOMEGESTROL AND ESTROGEN
G03G	GONADOTROPINS AND OTHER OVULATION STIMULANTS
G03G A	GONADOTROPINS
G03G A01	CHORIONIC GONADOTROPIN
G03G A02	HUMAN MENOPAUSAL GONADOTROPIN
G03G A03	SERUM GONADOTROPIN
G03G A04	UROFOLLITROPIN
G03G A05	FOLLITROPIN ALFA
G03G A06	FOLLITROPIN BETA
G03G A08	CHORIOGONADOTROPIN ALFA
G03G A09	CORIFOLLITROPIN ALFA
G03G A10	FOLLITROPIN DELTA
G03G A30	COMBINATIONS
G03G B	"OVULATION STIMULANTS, SYNTHETIC"
G03G B01	CYCLOFENIL
G03G B02	CLOMIFENE
G03G B03	EPIMESTROL
G03H	ANTIANDROGENS
G03H A	"ANTIANDROGENS, PLAIN"
G03H A01	CYPROTERONE
G03H B	ANTIANDROGENS AND ESTROGENS
G03H B01	CYPROTERONE AND ESTROGEN
G03X	OTHER SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03X A	ANTIGONADOTROPINS AND SIMILAR AGENTS
G03X A01	DANAZOL
G03X A02	GESTRINONE
G03X B	PROGESTERONE RECEPTOR MODULATORS
G03X B01	MIFEPRISTONE
G03X B02	ULIPRISTAL
G03X B51	"MIFEPRISTONE, COMBINATIONS"
G03X C	SELECTIVE ESTROGEN RECEPTOR MODULATORS
G03X C01	RALOXIFENE
G03X C02	BAZEDOXIFENE
G03X C03	LASOFOXIFENE
G03X C04	ORMELOXIFENE
G03X C05	OSPEMIFENE
G04	UROLOGICALS
G04A	URINARY ANTISEPTICS AND ANTIINFECTIVES - OLD CODE
G04A A	METHENAMINE PREPARATIONS - OLD CODE
G04A A01	METHENAMINE - OLD CODE
G04A B	QUINOLONE DERIVATIVES (EXCL. J01M) - OLD CODE
G04A B01	NALIDIXIC ACID - OLD CODE
G04A B02	PIROMIDIC ACID - OLD CODE
G04A B03	PIPEMIDIC ACID - OLD CODE
G04A B04	OXOLINIC ACID - OLD CODE
G04A B05	CINOXACIN - OLD CODE
G04A B06	FLUMEQUINE - OLD CODE
G04A C	NITROFURAN DERIVATIVES - OLD CODE
G04A C01	NITROFURANTOIN - OLD CODE
G04A C02	NIFURTOINOL - OLD CODE
G04A D	SALICYLATES - OLD CODE
G04A D01	PHENYL SALICYLATE - OLD CODE
G04A G	OTHER URINARY ANTISEPTICS AND ANTIINFECT - OLD CODE
G04A G05	MANDELIC ACID - OLD CODE
G04A G06	NITROXOLINE - OLD CODE
G04A H	SULFONAMIDES IN COMBINATION WITH OTHER DRUGS - OLD CODE
G04A H01	METHENAMINE AND SULFONAMIDES - OLD CODE
G04A H02	PHENAZOPYRIDINE AND SULFONAMIDES - OLD CODE
G04A K	"URINARY ANTISEPT&ANTIINF, COMB EXCL SULFONAMIDES - OLD CODE"
G04B	UROLOGICALS
G04B A	ACIDIFIERS
G04B A01	AMMONIUM CHLORIDE
G04B A03	CALCIUM CHLORIDE
G04B C	URINARY CONCREMENT SOLVENTS
G04B D	DRUGS FOR URINARY FREQUENCY AND INCONTINENCE
G04B D01	EMEPRONIUM
G04B D02	FLAVOXATE
G04B D03	MELADRAZINE
G04B D04	OXYBUTYNIN
G04B D05	TERODILINE
G04B D06	PROPIVERINE
G04B D07	TOLTERODINE
G04B D08	SOLIFENACIN
G04B D09	TROSPIUM
G04B D10	DARIFENACIN
G04B D11	FESOTERODINE
G04B D12	MIRABEGRON
G04B D13	DESFESOTERODINE
G04B E	DRUGS USED IN ERECTILE DYSFUNCTION
G04B E01	ALPROSTADIL
G04B E02	PAPAVERINE
G04B E03	SILDENAFIL
G04B E04	YOHIMBIN
G04B E05	PHENTOLAMINE - OLD CODE
G04B E06	MOXISYLYTE
G04B E07	APOMORPHINE
G04B E08	TADALAFIL
G04B E09	VARDENAFIL
G04B E10	AVANAFIL
G04B E11	UDENAFIL
G04B E30	COMBINATIONS
G04B E52	"PAPAVERINE, COMBINATIONS"
G04B X	OTHER UROLOGICALS
G04B X01	MAGNESIUM HYDROXIDE
G04B X02	ALFUZOSIN
G04B X03	ACETOHYDROXAMIC ACID
G04B X04	FINASTERIDE
G04B X05	ALPROSTADIL
G04B X06	PHENAZOPYRIDINE
G04B X07	PYGEUM AFRICANUM
G04B X08	TAMSULOSIN
G04B X10	SUCCINIMIDE
G04B X11	COLLAGEN
G04B X12	PHENYL SALICYLATE
G04B X14	DAPOXETINE
G04B X15	PENTOSAN POLYSULFATE SODIUM
G04B X16	TIOPRONIN
G04C	DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY
G04C A	ALPHA-ADRENORECEPTOR ANTAGONISTS
G04C A01	ALFUZOSIN
G04C A02	TAMSULOSIN
G04C A03	TERAZOSIN
G04C A04	SILODOSIN
G04C A51	ALFUZOSIN AND FINASTERIDE
G04C A52	TAMSULOSIN AND FINASTERIDE
G04C A53	TAMSULOSIN AND SOLIFENACIN
G04C B	TESTOSTERONE-5-ALPHA REDUCTASE INHIBITORS
G04C B01	FINASTERIDE
G04C B02	DUTASTERIDE
G04C X	OTHER DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY
G04C X01	PRUNUS AFRICANAE CORTEX
G04C X02	SABALIS SERRULATAE FRUCTUS
G04C X03	MEPARTRICIN
H	"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
H01	PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
H01A	ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES
H01A A	ACTH
H01A A01	CORTICOTROPIN
H01A A02	TETRACOSACTIDE
H01A B	THYROTROPIN
H01A B01	THYROTROPIN ALFA
